work,word,count,total,fpm,source_id,title,author,pub_date
1455,ballad,16,48574,329.3943261827315,mdp.39015048721800,"Modern British poetry,","Untermeyer, Louis, 1885-1977",1920
5042,ballad,11,33683,326.5742362616156,uc1.b3514836,"The art of poetry: seven lectures, 1920-1922,","Ker, W. P. (William Paton), 1855-1923",1923
2197,ballad,80,245554,325.79391905650084,njp.32101076457728,The Rhythmical Line.,"Seiberth, Ph",1919
1024,ballad,25,77606,322.14004071850115,loc.ark:/13960/t2m626f02,"A memorial volume to Shakespeare and Harvey,",University of Texas,1917
247,ballad,37,115028,321.66081301943876,hvd.hwg11q,"A bibliographical and critical account of the rarest books in the English language,","Collier, John Payne, 1789-1883",1866
1115,ballad,2,6250,320.0,mdp.39015073174263,The debate element in the Elizabethan drama,"Hanford, James Holly, 1882-",1913
1713,ballad,11,34899,315.1952778016562,mdp.39015030042447,"By-ways round Helicon,","Williams, Iolo Aneurin, 1890-1962",1922
4547,ballad,19,60379,314.67894466619185,uiug.30112001676896,Hendecasyllabics,"Swinburne, Algernon Charles.",1866
5098,ballad,19,60379,314.67894466619185,uiug.30112001676896,Sapphics,"Swinburne, Algernon Charles.",1866
3287,ballad,6,19075,314.54783748361734,nyp.33433074855697,The poetical works of Oliver Goldsmith ...,"Goldsmith, Oliver, 1730?-1774",1813
643,ballad,24,76529,313.6066066458467,hvd.32044086727310,"A memorial volume to Shakespeare and Harvey,",University of Texas,1917
4420,ballad,3,9790,306.43513789581203,uc1.$b257800,"A primer of essentials in grammar and rhetoric for secondary schools,","Knight, Marietta",1905
2099,ballad,36,117628,306.0495800319652,mdp.39015000584667,Pre-Raphaelite and other poets;,"Hearn, Lafcadio, 1850-1904",1922
1591,ballad,29,94793,305.92976274619434,mdp.39015031008033,A new study of English poetry.,"Newbolt, Henry John, Sir, 1862-1938",1917
1192,ballad,31,102629,302.05887224858475,mdp.39015065549829,"Sketches in history and poetry,","Shairp, John Campbell, 1819-1885",1887
3909,ballad,29,96218,301.3989066494834,uc1.b3386320,"A new study of English poetry,","Newbolt, Henry John, Sir, 1862-1938",1919
246,ballad,37,123623,299.29705637300503,hvd.hwg11r,"A bibliographical and critical account of the rarest books in the English language,","Collier, John Payne, 1789-1883",1866
651,ballad,22,73703,298.49531226680057,hvd.32044086688371,"Ballades and rondeaus, chants royal, sestinas, villanelles, &c.,","White, Gleeson, 1851-1898",1887
